,Date_Posted,Comment,Username,Upvotes,date_retrieved,article_name,link,sections,word_count,character_count,link_count,emoji_count,hashtag_count,mention_count,polarity_pos,polarity_neg,polarity_neu,polarity_compound
0,2022-04-08 15:15:29.196010,"I don't want an apology. I want a non-political thorough investigation to determine who, what, why, when, and how, and a fair and just determination as to whether laws were violated, and if so, the perpetrators to be held accountable.",Mother Heifer,101,04-08-2022,kim-strassel-hunter-biden-laptop-emails-senate-joe-business-dealings-china-burisma-ukraine-corruption,https://www.wsj.com/articles/kim-strassel-hunter-biden-laptop-emails-senate-joe-business-dealings-china-burisma-ukraine-corruption-11649365586?mod=hp_trending_now_opn_pos1,https://www.wsj.com/?mod=nav_top_section,40,234,0,2,0,,0.116,0.214,0.67,-0.3117
1,2022-04-08 15:25:29.196010,Except of course you also believe no investigation is needed to uncover who was involved in the attempted coup on Jan 6.,Richard Bryan,1,04-08-2022,kim-strassel-hunter-biden-laptop-emails-senate-joe-business-dealings-china-burisma-ukraine-corruption,https://www.wsj.com/articles/kim-strassel-hunter-biden-laptop-emails-senate-joe-business-dealings-china-burisma-ukraine-corruption-11649365586?mod=hp_trending_now_opn_pos1,https://www.wsj.com/?mod=nav_top_section,22,120,0,0,0,,0.0,0.095,0.905,-0.296
2,2022-04-08 15:37:29.196010,"No, not me. I believe there should be a thorough non-political investigation into that too... just as Durham is doing with the Hilary Russia Gate.",Mother Heifer,,04-08-2022,kim-strassel-hunter-biden-laptop-emails-senate-joe-business-dealings-china-burisma-ukraine-corruption,https://www.wsj.com/articles/kim-strassel-hunter-biden-laptop-emails-senate-joe-business-dealings-china-burisma-ukraine-corruption-11649365586?mod=hp_trending_now_opn_pos1,https://www.wsj.com/?mod=nav_top_section,25,146,0,1,0,,0.0,0.091,0.909,-0.296
3,2022-04-08 15:15:29.196010,Trusting any politician is a mistake.  Government has stopped existing to protect its citizens and now exists to protect itself from said citizens!,KEN YOCKEY,10,04-08-2022,kim-strassel-hunter-biden-laptop-emails-senate-joe-business-dealings-china-burisma-ukraine-corruption,https://www.wsj.com/articles/kim-strassel-hunter-biden-laptop-emails-senate-joe-business-dealings-china-burisma-ukraine-corruption-11649365586?mod=hp_trending_now_opn_pos1,https://www.wsj.com/?mod=nav_top_section,23,147,0,1,0,,0.278,0.146,0.576,0.5983
4,2022-04-08 15:15:29.196010,"Now that the laptop has ""come out"" of the Russia disinformation closet, what are Republican strategists going to do about it? It is somewhat helpful to confirm to the voters that their ""lying eyes"" are actually functioning properly and can be believed. But what's the plan to make this stick politically amongst those of the persuadable middle who are already bruised from their last trip to the grocery store and/or gas station? 
Apologies are largely irrelevant. Johnson and Grassley are veterans of these rumbles and this time, after getting banged up a bit, they came out on top. So, now what? If...<span data-openweb-allow-amp=""true"" style=""font-weight: bold; cursor: pointer;"">See more</span>",John Crossman,,04-08-2022,kim-strassel-hunter-biden-laptop-emails-senate-joe-business-dealings-china-burisma-ukraine-corruption,https://www.wsj.com/articles/kim-strassel-hunter-biden-laptop-emails-senate-joe-business-dealings-china-burisma-ukraine-corruption-11649365586?mod=hp_trending_now_opn_pos1,https://www.wsj.com/?mod=nav_top_section,108,698,0,28,0,,0.07,0.019,0.911,0.6901
5,2022-04-08 15:15:29.196010,What did Joe know about the monetization of his position as VP.He met with principals of the orginizations Hunter then made deals with. He did the same for his brother re the Iraq housing scheme . Why would he do that? and in his White House office!,johm moore,1,04-08-2022,kim-strassel-hunter-biden-laptop-emails-senate-joe-business-dealings-china-burisma-ukraine-corruption,https://www.wsj.com/articles/kim-strassel-hunter-biden-laptop-emails-senate-joe-business-dealings-china-burisma-ukraine-corruption-11649365586?mod=hp_trending_now_opn_pos1,https://www.wsj.com/?mod=nav_top_section,47,249,0,2,0,,0.0,0.0,1.0,0.0
6,2022-04-08 15:15:29.196010,Prosecutors in home state Delaware,Frank Deptula,,04-08-2022,kim-strassel-hunter-biden-laptop-emails-senate-joe-business-dealings-china-burisma-ukraine-corruption,https://www.wsj.com/articles/kim-strassel-hunter-biden-laptop-emails-senate-joe-business-dealings-china-burisma-ukraine-corruption-11649365586?mod=hp_trending_now_opn_pos1,https://www.wsj.com/?mod=nav_top_section,5,34,0,0,0,,0.0,0.0,1.0,0.0
7,2022-04-08 15:15:29.196010,"Disgust, certainly we all feel disgust, distrust over all the lying cheating Congressmen and the news media.  Why ever would we vote for a Democrat?  Complicit.  All Congress deserves this award as they support the false narrative that they are doing a truthful job.  EVERYONE on the take.",Madeline Ann Sutter,5,04-08-2022,kim-strassel-hunter-biden-laptop-emails-senate-joe-business-dealings-china-burisma-ukraine-corruption,https://www.wsj.com/articles/kim-strassel-hunter-biden-laptop-emails-senate-joe-business-dealings-china-burisma-ukraine-corruption-11649365586?mod=hp_trending_now_opn_pos1,https://www.wsj.com/?mod=nav_top_section,48,289,0,1,0,,0.183,0.263,0.554,-0.7488
8,2022-04-08 15:15:29.196010,"Enjoy the numerous civil  and legal cases on the docket awaiting your orange idol Madeline.
You'll soon find out who is on the take
I only hope your boy is not indicted or incarcerated until after he is the Republican nominee.
The finger pointing is going to be hilarious",Gregory Nastali,,04-08-2022,kim-strassel-hunter-biden-laptop-emails-senate-joe-business-dealings-china-burisma-ukraine-corruption,https://www.wsj.com/articles/kim-strassel-hunter-biden-laptop-emails-senate-joe-business-dealings-china-burisma-ukraine-corruption-11649365586?mod=hp_trending_now_opn_pos1,https://www.wsj.com/?mod=nav_top_section,49,271,0,1,0,,0.19,0.0,0.81,0.8519
9,2022-04-08 15:15:29.196010,"It was the summer of 2020, and, you believe that the Democratic Party leadership would be willing to investigate the Biden family and harm the chance of taking down their number one enemy, President Donald J Trump? C'mon man.",Cesare Francioni,2,04-08-2022,kim-strassel-hunter-biden-laptop-emails-senate-joe-business-dealings-china-burisma-ukraine-corruption,https://www.wsj.com/articles/kim-strassel-hunter-biden-laptop-emails-senate-joe-business-dealings-china-burisma-ukraine-corruption-11649365586?mod=hp_trending_now_opn_pos1,https://www.wsj.com/?mod=nav_top_section,39,225,0,2,0,,0.13,0.152,0.717,-0.4588
